Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,# name
28,1667420618247,02/11/2022 20:23:38,1667420617733,-4,02/11/2022 16:23:37,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,14,13,2,Gender,buttonB,response_button_text,1753,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Mingze
29,1667420619673,02/11/2022 20:23:39,1667420619141,-4,02/11/2022 16:23:39,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,15,14,1,Race,buttonB,response_button_text,1320.699999988079,null,,Black or African American,1,0,1,0,null,null,false,,,Trial,,# Aisha
30,1667420620230,02/11/2022 20:23:40,1667420619715,-4,02/11/2022 16:23:39,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,15,14,2,Gender,buttonB,response_button_text,530.8000000119209,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Aisha
31,1667420622422,02/11/2022 20:23:42,1667420621901,-4,02/11/2022 16:23:41,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,16,15,1,Race,buttonC,response_button_text,2108,null,,Chinese American,1,0,1,0,null,null,false,,,Trial,,# Yinue
32,1667420624408,02/11/2022 20:23:44,1667420623899,-4,02/11/2022 16:23:43,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,16,15,2,Gender,buttonB,response_button_text,1948.699999988079,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Yinue
33,1667420627524,02/11/2022 20:23:47,1667420626992,-4,02/11/2022 16:23:46,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,17,16,1,Race,buttonC,response_button_text,3001,null,,Chinese American,1,0,1,0,null,null,false,,,Trial,,# Yuxi
34,1667420627980,02/11/2022 20:23:47,1667420627467,-4,02/11/2022 16:23:47,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,17,16,2,Gender,buttonB,response_button_text,450.4000000357628,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Yuxi
35,1667420629404,02/11/2022 20:23:49,1667420628889,-4,02/11/2022 16:23:48,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,18,17,1,Race,buttonB,response_button_text,1391.0999999642372,null,,Black or African American,1,0,1,0,null,null,false,,,Trial,,# Treyvone
36,1667420629909,02/11/2022 20:23:49,1667420629378,-4,02/11/2022 16:23:49,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,18,17,2,Gender,buttonA,response_button_text,459.5,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Treyvone
37,1667420635857,02/11/2022 20:23:55,1667420635330,-4,02/11/2022 16:23:55,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,19,18,1,Race,buttonD,response_button_text,5898.199999988079,null,,Hispanic or Latino,1,0,1,0,null,null,false,,,Trial,,# Mariella
