Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,# name
70,1667420774388,02/11/2022 20:26:14,1667420773874,-4,02/11/2022 16:26:13,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,35,34,2,Gender,buttonA,response_button_text,596.9000000357628,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Ricardo
71,1667420775654,02/11/2022 20:26:15,1667420775137,-4,02/11/2022 16:26:15,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,36,35,1,Race,buttonC,response_button_text,1231.4000000357628,null,,Chinese American,1,0,1,0,null,null,false,,,Trial,,# Xinyi
72,1667420780484,02/11/2022 20:26:20,1667420779976,-4,02/11/2022 16:26:19,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,36,35,2,Gender,buttonB,response_button_text,4793.099999964237,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Xinyi
73,1667420781639,02/11/2022 20:26:21,1667420781124,-4,02/11/2022 16:26:21,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,37,36,1,Race,buttonB,response_button_text,1126.699999988079,null,,Black or African American,1,0,1,0,null,null,false,,,Trial,,# Deshawn
74,1667420782157,02/11/2022 20:26:22,1667420781643,-4,02/11/2022 16:26:21,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,37,36,2,Gender,buttonA,response_button_text,487.0999999642372,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Deshawn
75,1667420783386,02/11/2022 20:26:23,1667420782875,-4,02/11/2022 16:26:22,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,38,37,1,Race,buttonD,response_button_text,1183,null,,Hispanic or Latino,1,0,1,0,null,null,false,,,Trial,,# Juan
76,1667420784278,02/11/2022 20:26:24,1667420783712,-4,02/11/2022 16:26:23,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,38,37,2,Gender,buttonA,response_button_text,804.3000000119209,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Juan
77,1667420786795,02/11/2022 20:26:26,1667420786275,-4,02/11/2022 16:26:26,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,39,38,1,Race,buttonA,response_button_text,2518.599999964237,null,,Caucasian or White American,1,0,1,0,null,null,false,,,Trial,,# Garrett
78,1667420787645,02/11/2022 20:26:27,1667420787124,-4,02/11/2022 16:26:27,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,39,38,2,Gender,buttonA,response_button_text,820.3999999761581,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Garrett
79,1667420788751,02/11/2022 20:26:28,1667420788233,-4,02/11/2022 16:26:28,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,40,39,1,Race,buttonA,response_button_text,1073.8999999761581,null,,Caucasian or White American,1,0,1,0,null,null,false,,,Trial,,# Emma
80,1667420789291,02/11/2022 20:26:29,1667420788770,-4,02/11/2022 16:26:28,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,40,39,2,Gender,buttonB,response_button_text,515.1000000238419,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Emma
81,1667420790881,02/11/2022 20:26:30,1667420790367,-4,02/11/2022 16:26:30,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,41,40,1,Race,buttonC,response_button_text,1575.300000011921,null,,Chinese American,1,0,1,0,null,null,false,,,Trial,,# Yihan
82,1667420791960,02/11/2022 20:26:31,1667420791440,-4,02/11/2022 16:26:31,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,41,40,2,Gender,buttonB,response_button_text,1039.300000011921,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Yihan
83,1667420792194,02/11/2022 20:26:32,1667420791456,-4,02/11/2022 16:26:31,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,,,END TASK,,,,,242512,,,,,0,1,0,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
